"id","groupId","Authors","title","journal","volume","pages","date","bookTitle","note","publisher","editors","institution","tech","address"
"1","ahlskog1994a"," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. "," Inganas and M.R. "," Andersson, J Appl. Phys., "," 76, ","893,"," (1994). ","","","","","","",""
"2","ahlskog1994a"," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R.   Andersson, ","","  J Appl. Phys., "," 76, ","893, "," (1994). ","","","","","","",""
"3","ahlskog1994a"," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R.  Andersson, ",""," J Appl. Phys.,"," 76, ","893, "," (1994). ","","","","","","",""
"4","ahlskog1994a"," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",""," J Appl. Phys., "," 76, ","893, "," (1994). ","","","","","","",""
"5","ahlskog1994a"," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R. Andersson,",""," J Appl. Phys., "," 76, ","893, "," (1994). ","","","","","","",""
"6","ahlskog1994a"," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",""," J Appl. Phys., "," 76, ","893, "," (1994). ","","","","","","",""
"7","ahlskog1994a"," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",""," J Appl. Phys., "," 76, ","893, "," (1994). ","","","","","","",""
"8","ahlskog1994a"," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",""," Journal of Applied Physics, "," 76, ","893, "," (1994). ","","","","","","",""
"9","asfahl1992a"," C. Ray Asfahl. "," Robots and Manufacturing Automation. ","","",""," 1992. ",""," second edition, "," John Wiley and Sons, ","","",""," New York, "
"10","benford1993a"," Steve Benford and Lennart E. Fahlen. "," A spatial model of interaction in large virtual environments. ","","",""," September "," In Proceedings of ECSCW'93, ","","","","",""," Milan, "
"11","benford1994a"," Benford, S., and Fahln, L. "," Viewpoints, Actionpoints and Spatial Frames for Collaborative User Interfaces, ","","",""," (1994), "," 6th ERCIM workshop, ","","","","","","Stockholm. "
"12","benford1995a"," Benford, S., Bowers, J., Fahln, L., Greenhalgh, C., and Snowdon, D., "," User Embodiment in Collaborative Virtual Environments, ","","",""," May 7-11, 1995,"," in Proc. ACM Conference on Human Factors in Computing Systems (CHI95), ","","","","",""," Denver, Colorado, USA. "
"13","benford1995a"," Benford, S., Bowers, J., Fahlen, L.E., Greenhalgh, C., Snowdon, D. "," User Embodiment in Collaborative Virtual Environments. ","",""," 242-249. "," (1995). "," In Proceedings of CHI95, ","","","","","",""
"14","benford1995a"," Benford, S., Bowers, J., Fahlen, L.E., Greenhalgh, C., Snowdon, D. "," User Embodiment in Collaborative Virtual Environments. ",""," 242 249. ","",""," In Proceedings of CHI95, ","","","","","",""
"15","benford1995b"," Steve Benford, John Bowers, Lennart Fahlen, Chris Greenhalg, John Mariani, and Tom Rodden. "," Networked Virtual realitty and Cooperative Work. "," Presence,"," 4(4) "," 364-386, "," 1995. ","","","","","","",""
"16","brown1992a"," Brown, D. F., Moura, H. & Watt, D. A. "," Actress: an action semantics directed compiler generator, ","",""," pp. 95-109. "," (1992b), "," `Proceedings of the International Workshop on Compiler Construction (CC-92)', ","Vol. 641 of Lecture Notes in Computer Science, "," Springer-Verlag, "," in U. Kas-tens & P. Pfahler, eds, ","",""," Paderborn, Germany, "
"17","brown1992a"," Brown, D. F., Moura, H. & Watt, D. A. "," Actress: an action semantics directed compiler generator, ","",""," pp. 95-109. "," (1992b), "," `Proceedings of the International Workshop on Compiler Construction (CC-92)', ","Vol. 641 of Lecture Notes in Computer Science, "," Springer-Verlag, "," in U. Kas-tens & P. Pfahler, eds, ","",""," Paderborn, Germany, "
"18","brown1992a"," D. F. Brown, H. Moura, and D. A. Watt. Actress: "," an action semantics directed compiler generator. ","",""," pages 95-109, ","October 1992. "," Proceedings of the 4th International Conference on Compiler Construction (CC'92), ","volume 641 of Lecture Notes in Computer Science, "," Springer-Verlag. "," In U. Kastens and P. Pfahler, editors, ","",""," Paderborn, FRG, "
"19","buth1992a 5."," B. Buth, K.-H. Buth, M. Franzle, B. v. Karger, Y. Lakhneche, H. Langmaack, and M. Muller-Olm. "," Provably correct compiler development and implementation. ","","",""," 1992. "," Compiler Construction, ","volume 641 of Lecture Notes in Computer Science. "," Springer-Verlag, "," In U. Kastens and P. Pfahler, editors, ","","",""
"20","buth1992a 6."," B. Buth et. al., "," Provably Correct Compiler Implementation, ","",""," pp. 141-155. "," 1992, "," Compiler Construction, ",""," Springer Verlag, LNCS 641, "," in U. Karstens and P. Pfahler (eds.) ","","",""
"21","buth1992a 6."," B. Buth et. al., "," Provably Correct Compiler Implementation, ","",""," pp. 141-155. "," 1992, "," Compiler Construction, ",""," Springer Verlag, LNCS 641, "," in U. Karstens and P. Pfahler (eds.) ","","",""
"22","buth1992a 6."," B. Buth et. al., "," Provably Correct Compiler Implementation, ","",""," pp. 141-155. "," 1992, "," Compiler Construction, ",""," Springer Verlag, LNCS 641, "," in U. Karstens and P. Pfahler (eds.) ","","",""
"23","buth1992a"," Bettina Buth, Karl-Heinz Buth, Martin Franzle, Burghard von Karger, Yassine Lakhneche, Hans Langmaack, and Markus Muller-Olm. "," Provably correct compiler development and implementation. ","",""," pages 141-155. "," 1992. "," Compiler Construction, number 641 in Lecture Notes in Computer Science, ",""," Springer-Verlag, "," In U. Kastens and P. Pfahler, editors, ","","",""
"24","carlson1993a"," Carlson, C.; L.E.Fahln. "," Integrated CSCW Tools Within a Shared 3D Virtual Environment.","",""," 513 "," 1993. "," In Computer Supported Cooperative Work: A Book of Readings. ",""," Morgan Kaufmann. "," Ed. Irene Greit:","",""," NY:"
"25","cramer1985a"," Cramer, N. L. "," A representation for the adaptive generation of simple sequential programs. ","",""," pages 183-187, "," (1985). "," Proceedings of an International Conference on Genetic Algorithms and Their Applications, ",""," Lawrence Erlbaum Associates. "," In Grefenstette, J., editor, ","",""," Hillsdale, NJ. "
"26","daelemans1995a"," Daelemans, W., Van den Bosch, A., and Weijters, T. "," IG-tree: A variant of IBL. submitted. Available from request to antal@cs.rulimburg.nl Fahlman, ","","",""," (1995). ","","",""," S. E. and Lebiere, C. "," School of Computer Science, Carnegie-Mellon University, "," Technical Report CMU-CS-90-100, "," Pittsburgh, PA. "
