firstId,secondId
"aa0a7f0d","aa0a810d"
"a60a950d","ab0a950d"
"ae0e160c","ae0e490c"
"a609550f","a609560f"
"ab0c630c","ac0c630c"
"a40b200d","ad0b1e0d"
"ab07fc0e","af07ef0e"
"a40f020c","ab0f6d0b"
"a10b920d","a40b920d"
"a10c230d","a40fb30d"
"a50b630d","a50bc90d"
"a209c80c","a609fc0c"
"af0a7d0d","a60a7d0d"
"a00efd0b","a610290b"
"a308210c","a708480c"
"ae09d90d","a70a370d"
"a40d2f0e","a70c390d"
"a70d600c","a70d610c"
"a40ecc0d","a70f0b0d"
"a611f70d","a7120d0d"
"a40d380d","a80d370d"
"a50b100e","a80e690e"
"a40ecc0d","a80f040d"
"a70f0b0d","a80f040d"
"ae0a070d","ab0a2d0d"
"a00c1c0b","ab0a300b"
"a00efd0b","a90f160b"
"a610290b","a90f160b"
"a90ac60c","aa0ac60c"
"a60c1a0c","ad0c2b0c"
"a60c1f0c","ad0c2b0c"
"a209c80c","a90e010c"
"a70deb0c","a90e010c"
"a60b490d","a90e010c"
"a609fc0c","a90e010c"
"ab0bbe0d","ab0cf00d"
"a510790b","ac10750b"
"a70be90c","ad0b9b0c"
"a30bba0c","ad0bc10c"
"ad0ca80e","ad0cae0e"
"a908990d","ae089c0d"
"ab0af319","ae0bd71a"
"a7091b0b","af0a210c"
"a40fac0a","a610650b"
"a20d160b","a00d020b"
"a00e780e,a50e770e","a00e780e"
"a2087c0b","a2088b0b"
"ac0a690e","a20a5f0e"
"a60b5e0b","a20b5d0b"
"a20b660c","a20b640c,a40b650c,b00b650c"
"a40c350c","a20c4a0c"
"a10c660b","a20c660b"
"ab0d340d","a20d120d"
"a80cd80c","a20d130c"
"a30dac0d","a20dac0d"
"a30bd40c","a30bd50c"
"a40f510e","a30cb50d"
"a10ac00c","a30cd90e"
"a00c200b","a30ceb0c"
"a00db40c","a30db40c"
"a60bb80b","a40bb70b"
"a30a390d","9309300d,9f09380d,a409360d,a409d60d,a509370d,a7092a0d,a809370d,aa09370d,ad09290d"
"a50dba0c","a40db80c,ac0db90c"
"a311df0c","a411e10c"
"ab09900c","a509c30c"
"a90c120e","a50c100e"
"a30cb20d","a50cb40d"
"a50e2a0d","a50e2c0d"
"a0102c0c","a5104d0d"
"a210790c","a510680c"
"a0083c0c","a6084b0c"
"a408e80d","a608e80d"
"a509960c","a609b70c"
"aa0ac40d","a60b330d"
"a209c80c","a60b490d"
"a609fc0c","a60b490d"
"a00b670c","a60b620c"
"a60c1a0c","a60c1f0c"
"ac0baa0c","a60cbe0d"
"a20e6b0c","a60cc50b"
"a110c70c","a610c90c"
"a611cc0d","a612020d"
"a6082d0b","a7082d0b"
"a308b70c","a708cb0c"
"a20b7a0b","a70b7a0b"
"a40c350c","a70c2d0c"
"a20c4a0c","a70c2d0c"
"a30c970c","a70c850c"
"a209c80c","a70deb0c"
"a60b490d","a70deb0c"
"a609fc0c","a70deb0c"
"a40e8f0d","a70e780d"
"a20fad0d","a70fc40d"
"a30edf0c","a710440d"
"a40d180c","a90d270d"
"ab08640b","a8088d0b"
"a308b70c","a808e10c"
"a708cb0c","a808e10c"
"ab0d340d","a80a3d0d"
"a20d120d","a80a3d0d"
"ab0a280c","a80b5c0d"
"a00d390e","a80c2a0e"
"ae0c400c","a80c400c,af0c400c"
"a70d080c","a80cfb0c"
"a00f540c","a80f530c"
"a40b670c","a80f840c"
"a60f8f0c","a80f900c"
"aa0ccd0c","aa0ccf0c"
"a308b70c","a908e90c"
"a808e10c","a908e90c"
"a30b8f0e","a90ab50d"
"a50ca30d","a90cb30d"
"a70be90c","a90c050c"
"ad0b9b0c","a90c050c"
"a50bfd0d","aa0bfd0d"
"a110c70c","aa0e600c"
"a610c90c","aa0e600c"
"ab10f90c","aa0fb50c"
"a708480c","ab09270c"
"ab0a7a0c","ab0a7b0c"
"aa0ad70d","ab0b0b0d"
"a50c1f0c","ab0c200c"
"a00a560c","ab0bb60c"
"a00d390e","ab0ce00e"
"a80c2a0e","ab0ce00e"
"a20d710c","ab0d730c"
"aa0f780e","ab0e820d"
"a20cf80d","ab0f7b0e"
"a60fba0d","ab0fd40d"
"a0083c0c","ac08280c"
"a6084b0c","ac08280c"
"a108810c","ac09060d"
"aa0b5f0d","ac0b8f0d"
"ab0bdd0d","ab0bdd0d,ac0bdc0d,ac0bdd0d,b70bde0d"
"aa0cb70c","ac0cc20c"
"a511050d","ac110e0d"
"aa093c0c","ad093c0c"
"a80b090b","ad0b330c"
"a50b270c","ad0b390c"
"aa0b5f0d","ad0b720d"
"ac0b8f0d","ad0b720d"
"a30fc30c","ad0c710d"
"ac0ce90c","ad0ce90c"
"ae0dae0c","ad0dad0c"
"a70fc40d","ad0fa80d"
"a20fad0d","ad0fa80d"
"a20f7f0c","ad0fb60c"
"ac10b00c","ad10c70d"
"ab11ca0c","ad115e0b"
"ac0bb00b","ae0bb10b"
"a60bb90c","ae0bbf0c"
"a40bbc0d","ae0e170e"
"a70fc40d","ae0fc30d"
"ad0fa80d","ae0fc30d"
"a20fad0d","ae0fc30d"
"a20f5a0c","ae10300d"
"ab10f90c","ae10f70c"
"aa0fb50c","ae10f70c"
"ad11670d","ae11670d"
"aa0c8c0d","af098c0c"
"ac0a510c","af0a520c"
"aa0b020c","af0b030c"
"a30ba90d","af0b910d"
"a80c190d","af0c1a0d"
"a40a8f0c","af0d050d"
"a20c560c","af0d2f0d"
"a20f8d0c","af0d930c"
"a80d960c","af0d930c"
"aa0e330d","af0e4b0d"
"a3107b0c","af10860c"
"ad0ffe0b","af12880d"
"a2085b0c","a708700c"
"a20bad0c","a90bad0c"
"a30b960d","ab0b930d"
"a10d510c,a60d510c","a00d510c"
"ab0cf90d","a307a10c"
"a60c850c","a30c9d0c"
"a40c360b","a40c650c"
"a20a3b0d","a40a3e0d"
"a00c380b","a40c620b"
"a508a50c","a608a30c"
"a00ce30c","a70bcc0c"
"a60f8f0c","a70f8f0c"
"a80f900c","a70f8f0c"
"a4110f0c","a710d30d"
"7f098f0a,a809780a","a809780a"
"a10bb20c","a80bb10c"
"a90b630b","aa0b630b"
"aa0fe10c","aa0fe00c"
"ac0cd30e","ae0be00d"
"a40c3b0b","a10c3d0b"
"a812730c","a112720c"
"a90d930e","a20d930e"
"9909510b,a7094e0b","a30b9b0e"
"ac0ab00c","a40aa40c"
"a308b70c","a908de0c"
"a908e90c","a908de0c"
"a808e10c","a908de0c"
"a708cb0c","a908de0c"
"a809490c","a90a020d"
"a50cbd0d","a90cba0d"
"950f4a0b,a60f490b,b70f3a0b,b70f4b0b","950f4a0b,ab0f4a0b"
"af114b0d","ab114e0d"
"a80b280d","ac0b130c"
"ab0bdd0d","ac0bdd0d"
"ab0bdd0d,ac0bdc0d,ac0bdd0d,b70bde0d","ac0bdd0d"
"ab0d340d","ae0d0e0d"
"a80a3d0d","ae0d0e0d"
"a20d120d","ae0d0e0d"
"9b0a340c,a70a4a0c,aa0a4a0c,b30a330c","af0a4a0c"
"a308b70c","a008f50c"
"a908de0c","a008f50c"
"a908e90c","a008f50c"
"a808e10c","a008f50c"
"a708cb0c","a008f50c"
"a10eea0d","a30eea0d"
"af0c3a0c","a80c210c"
"a10ed90c","a20f010c"
"a40a600b","aa0d3a0d"
"a3093e0c","a3093c0c"
"a40f500b","a40f520b"
"a60b250b","a70b0a0b"
"aa11420b","aa11440b"
"aa0ca80d","ae0af910"
"a90c5a0d","a70bfc0d"
"a90dee0c","ae0dee0c"
"a909de0d","af098c0d"
